uuid,name,lat,long,BoatRamp,Jetty,Baths
66ba4e1b-0197-40cb-86c6-05a3f19b5eac,Swansea Boat Ramp (The Esplanade),-33.088335, 151.628441,true,,
27596e86-b4b5-4824-a651-07ff99337265,Styles Point Public Jetty,-33.0342114869119, 151.591758728027,,true,
e7242217-aa34-4461-b4b2-095fd18399de,Cams Wharf Baths,-33.1139742603868, 151.613473892211,,,true
88277537-7aa5-48e0-aafc-0a3982f47da2,Toronto Public Jetty and Baths,-33.014135, 151.598687,,true,true
0a5129cf-3059-4f3a-b968-0ef437b010c1,Toronto Public Wharf,-33.014940, 151.599235,,true,
a2b38f0e-08a7-4ac3-b498-148ac10cb356,Dora Creek Boat Ramp,-33.083232, 151.531731,true,,
da06077c-73bc-462d-a664-17bd4e504189,Belmont Public Jetty,-33.035675, 151.657386,,true,
4abf317f-473a-4b82-b233-1ed38daa600b,Dora Creek Public Jetty,-33.084908, 151.501806,,true,
e88c53ee-0a43-47e3-adf7-21af0cb0b30d,Little Wangi Public Jetty,-33.071351, 151.598379,,true,
7390d22d-f0db-4aa5-a321-24ff2715ff25,Arcadia Vale Public Jetty and Baths,-33.0619190854797, 151.587274074554,,true,true
da091cac-0e31-4c9f-89bb-2a566ee0d179,Balcolyn Boat Ramp (Shingle Splitters Point),-33.0894561660252, 151.5487575531,true,,
43b4ed21-bac3-4794-b5cd-2b9802d861d2,Balmoral Boat Ramp and Jetty,-33.0938066496076, 151.551353931427,true,true,false
7811034a-98fe-4df6-a962-2ca9f2945b22,The Esplanade Public Jetty,-33.089469, 151.628375,,true,
8f9d65fa-e96e-48b0-a94d-2d1281c83cf0,Wangi Wangi Boat Ramp (Holiday Park),-33.072885, 151.610241,true,,
a9f5f059-28f5-4273-b59c-3444ef911934,Balcolyn Boat Ramp (Hall Reserve),-33.0940043937463, 151.551353931427,true,,
60ad3465-5460-41fe-a089-39a6bd348a62,Pelican Public Jetty,-33.0685591603387,151.641717553138,,true,
634f7982-f63f-4b63-92cb-3a4df02d64f3,Wangi Wangi Boat Ramp (Dobel Park),-33.071970, 151.589302,true,,
5068de9e-d703-4a59-a118-3b2d3a6bddc8,Green Point Reserve Jetty,-33.028958, 151.636442,,true,
2864bed6-fab7-40a3-9361-46bbba281b7e,Belmont Baths,-33.0358844421427, 151.657311916351,,,true
bd912d35-b6b3-4da5-93f2-40496d280064,Rathmines Officers Baths Jetty,-33.039257, 151.598304,,true,true
e7f12602-7e6b-424e-82db-7b20f68f7e8c,Toronto Boat Ramp (Lions Park),-32.999618, 151.597581,true,,
96275782-240c-4288-a970-47ad84e953ad,Rathmines Boat Ramp (Styles Point),-33.033905, 151.591847,true,,
eb83be15-b326-4359-b829-a6d3a7c4677d,Coal Point Boat Ramp,-33.048866, 151.616648,true,,
9d2662ec-471e-426c-bacc-824f7ac77ad0,Wangi Wangi Boat Ramp (Kent Place),-33.069585, 151.587358,true,,
ab94c764-5732-47bf-a159-5a1022581bdc,Valentine Public Jetty and Baths,-33.003941, 151.640597,true,,true
50920349-431e-48a8-81b7-4c7049e292ed,Speers Point Public Jetty,-32.9630905397537, 151.617593765258,,true,false
5afecb19-c888-44c8-a1b4-9f83aecf21b0,Brightwaters Public Jetty,-33.118222, 151.545850,false,true,true
9b336b8c-8867-428b-a829-6dbf50b02327,Warners Bay Public Jetty,-32.9744679829044, 151.643514633178,,true,
c66ba7e1-21ae-4a9e-97f3-9f25fbd3be31,Morisset Park Boat Ramp,-33.117458, 151.537367,true,,
72ce8fb7-0b53-4a99-b02a-5398e5c4a57d,Bonnells Bay Boat Ramp,-33.106949, 151.522499,true,,
e64c85fd-f896-4080-8512-4de801282bf3,Marmong Point Boat Ramp,-32.977223, 151.619943,true,,
9d178be0-5ed7-4001-b2bf-45d9adf7627b,Swansea Boat Ramp (Thomas Humphreys Reserve),-33.074699, 151.637717,true,,
94926cb4-8114-4632-8c1d-ab363961758b,Wangi Wangi Public Jetty and Baths (Workers Club),-33.067224, 151.580252,,true,true
9af3d599-6350-4794-b21b-424d5c8a6294,Toronto Boat Ramp (Wharf Street),-33.0149612224747, 151.599290370941,true,,
e0956c74-7f58-41d5-a301-694e81b283e9,Wangi Holiday Park Jetty,-33.0737422964339, 151.610426902771,,true,
56ea1733-938a-482d-9c10-9d4e4ff85ff5,Sunshine Boat Ramp,-33.109824, 151.564111,true,,
53244e45-1fec-45e3-813f-7e43e6e280be,Cams Wharf Boat Ramp,-33.1260151004645, 151.613817214965,true,,
458e6292-11be-4189-917e-b1acf3987032,Nords Wharf Public Jetty,-33.1310286350597, 151.604472398757,,true,
36f17f30-26d2-4ce4-bafa-bb3dced23d5c,Rathmines Park Boat Ramp,-33.039016, 151.594754,true,true,
246c6efe-765f-45ad-9fbc-ba2c223f44f9,Marks Point Boat Ramp (Naru Reserve),-33.064926, 151.641112,true,,
94d858b7-5973-475a-8874-b5e680d720c5,Speers Point Boat Ramp,-32.961289, 151.614752,true,,
683e6500-444f-4be4-ad08-f1529d745ff1,Nords Wharf Boat Ramp,-33.1360059471043, 151.602251529693,true,,
c33f003b-451c-4809-947b-e7d7d8ed0f80,Bennett Park Boat Ramp,-33.0101659933653, 151.630790233612,true,,
5e60b2d0-99d4-424e-9e79-fdc4589ab4c9,Croudace Bay Boat Ramp,-32.998349, 151.637487,true,,
051b187c-7f44-4af3-9815-d720c8ae9e43,Rathmines Jetty (F-Jetty),-33.038264, 151.593350,,true,
3f387e77-e1c5-4ea7-9937-ef78a5bfb5a0,Marks Point Boat Ramp (Village Bay Close),-33.054596, 151.649550,true,,
6edeafd9-d9ec-4e34-9bac-c7d80ec47213,Coal Point Public Jetty (Wombal Reserve),-33.040719, 151.614582,,true,
c74f505b-676f-4da2-a4d6-cd3d79a07d2b,Bonnells Bay Public Jetty,-33.104847, 151.536934,,true,
